id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757450575,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17137,788,51,0,1,0,0,0,0,0,1,1,1
3757450529,777243,7500.0,0,False,47,329,5,4,3,30,36,36,17134,788,51,0,1,0,0,0,0,0,1,1,1
3757451167,777243,7500.0,1,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757449609,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757449600,777243,7500.0,1,False,47,329,5,3,3,30,36,36,17137,788,51,0,1,0,0,0,0,0,1,1,1
3757449531,777243,7500.0,1,True,47,329,5,3,3,30,36,36,17136,788,51,0,1,0,0,0,0,0,1,1,1
3757452011,777243,7500.0,1,True,47,329,5,3,3,30,35,20,18986,788,51,0,1,0,0,0,0,0,1,1,1
3757452110,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757452114,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757453032,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17137,788,51,0,1,0,0,0,0,0,1,1,1
3757453037,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17137,788,51,0,1,0,0,0,0,0,1,1,1
3757453050,777243,7500.0,1,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757446992,777243,7500.0,1,False,47,329,5,3,3,30,36,36,18936,788,51,0,1,0,0,0,0,0,1,1,1
3757454008,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757446977,777243,7500.0,0,False,47,329,5,3,3,30,36,36,17135,788,51,0,1,0,0,0,0,0,1,1,1
3757443994,777243,7500.0,4,True,47,329,5,4,3,30,35,20,18950,788,51,0,1,0,0,0,0,0,1,1,1
3693050122,13333,3640.0,12,False,47,319,5,3,3,30,20,36,6126,5156,51,0,1,0,0,0,0,0,1,1,1
3757451004,777243,7500.0,2,False,47,329,5,6,3,30,20,36,1824,788,51,0,1,0,0,0,0,0,1,1,1
3757452086,777243,7500.0,0,False,47,329,5,4,3,20,30,19,588,788,51,0,1,0,0,0,0,0,1,1,1
3757744454,7260,3872.0,1,False,47,1218,2,3,3,35,36,36,4584,9474,51,0,1,0,0,0,0,0,1,1,1
3757453442,777243,7500.0,4,False,47,329,2,4,3,30,36,36,4018,788,51,1,0,0,0,0,0,0,1,1,1
3693048379,11229,7500.0,12,False,47,4871,5,4,2,30,36,36,16562,9673,51,0,1,0,0,0,0,0,1,1,1
3693048898,1681,10000.0,12,False,47,25512,5,4,3,30,20,36,16469,7579,51,0,1,0,0,0,0,0,1,1,1
3693582922,11229,5416.666666666667,3,False,47,4871,5,4,2,30,20,24,596,9673,51,0,1,0,0,0,0,0,1,1,1
3693046685,11229,7500.0,12,True,47,4871,2,4,2,30,36,36,12236,9673,51,1,0,0,0,0,0,0,1,1,1
3755585527,1681,3520.0,0,False,47,25512,2,4,3,30,36,36,624,7579,51,1,0,0,0,0,0,0,1,1,1
3693049510,11229,7500.0,3,False,47,4871,5,2,2,30,36,36,2296,9673,51,0,1,0,0,0,0,0,1,1,1
3693051584,11229,7500.0,12,False,47,4871,5,4,2,30,36,36,16475,9673,51,0,1,0,0,0,0,0,1,1,1
3693047109,11229,7500.0,3,False,47,4871,5,2,2,26,36,36,8361,9673,51,0,1,0,0,0,0,0,1,1,1
3693053152,11229,7500.0,2,False,47,4871,5,2,2,30,36,36,6918,9673,51,0,1,0,0,0,0,0,1,1,1
3693046110,11229,7500.0,0,False,47,4871,5,2,2,26,36,36,8361,9673,51,0,1,0,0,0,0,0,1,1,1
3757729214,6044,11458.333333333334,3,False,47,1989,5,4,2,30,19,36,9400,10188,51,0,1,0,0,0,0,0,1,1,1
3693053312,11229,7500.0,6,False,47,4871,5,4,2,30,20,36,8730,9673,51,0,1,0,0,0,0,0,1,1,1
3755583752,8795,7500.0,2,False,47,4075,5,1,1,31,36,36,7866,6950,51,0,1,0,0,0,0,0,1,1,1
3755595205,5235,14791.666666666664,1,False,47,12986,5,4,3,30,20,36,16259,5053,51,0,1,0,0,0,0,0,1,1,1
3755585940,5235,4840.0,1,False,47,12986,2,3,3,30,20,36,603,5053,51,0,1,0,0,0,0,0,1,1,1
3693045291,11229,7500.0,12,False,47,4871,5,4,2,24,36,36,6794,9673,51,0,1,0,0,0,0,0,1,1,1
3757463081,777243,7500.0,2,False,47,329,5,3,3,24,30,36,554,788,51,0,1,0,0,0,0,0,1,1,1
3757499662,6044,11000.0,4,True,47,1989,2,4,2,30,19,36,11685,10188,51,1,0,0,0,0,0,0,1,1,1
3693045406,11229,7500.0,4,False,47,4871,5,2,2,30,36,36,639,9673,51,0,1,0,0,0,0,0,1,1,1
3693055169,11229,7500.0,12,False,47,4871,5,4,2,30,36,36,16478,9673,51,0,1,0,0,0,0,0,1,1,1
3693053226,5235,10625.0,12,True,47,12986,5,4,3,20,30,19,6498,5053,51,0,1,0,0,0,0,0,1,1,1
3757725502,6044,11458.333333333334,0,False,47,1989,5,4,2,30,19,36,9400,10188,51,0,1,0,0,0,0,0,1,1,1
3693044499,11229,7500.0,5,False,47,4871,5,2,2,30,36,36,576,9673,51,0,1,0,0,0,0,0,1,1,1
3693583735,3743,10529.166666666666,0,False,47,17859,5,4,1,34,36,36,10874,7315,51,0,1,0,0,0,0,0,1,1,1
3693583742,3743,7500.0,0,False,47,17859,5,4,1,30,20,36,6775,7315,51,0,1,0,0,0,0,0,1,1,1
3693045216,6044,7500.0,11,False,47,1989,2,4,3,34,27,36,17656,10188,51,1,0,0,0,0,0,0,1,1,1
3693583732,3743,5808.0,1,False,47,17859,2,4,1,28,36,36,4468,7315,51,0,0,0,0,1,0,0,1,1,1
3693582884,3743,5808.0,2,False,47,17859,2,4,1,23,24,36,4469,7315,51,0,0,0,0,1,0,0,1,1,1
3693586605,3743,10529.166666666666,0,False,47,17859,5,4,1,34,36,36,10874,7315,51,0,1,0,0,0,0,0,1,1,1
3755582826,5235,14791.666666666664,12,False,47,12986,5,6,3,30,20,36,6820,5053,51,0,1,0,0,0,0,0,1,1,1
3693585629,3743,4850.0,3,False,47,17859,5,4,1,13,36,36,7696,7315,51,0,1,0,0,0,0,0,1,1,1
3693585630,3743,5808.0,0,False,47,17859,2,4,1,17,18,36,2604,7315,51,0,1,0,0,0,0,0,1,1,1
3693044738,3476,7500.0,0,False,47,10055,5,4,1,30,36,36,10135,5771,20,0,1,0,0,0,0,0,1,1,1
3699408208,8795,7500.0,1,False,47,4075,2,1,1,20,21,36,19972,6950,51,0,0,1,0,0,0,0,1,1,1
3699408207,8795,7500.0,0,False,47,4075,2,1,1,20,21,36,19972,6950,51,0,0,1,0,0,0,0,1,1,1
3693042975,16742,12500.0,5,True,47,1718,5,4,3,30,36,36,18961,998,51,0,1,0,0,0,0,0,1,1,1
3697394713,18401,5192.0,0,False,47,2125,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3757744197,120393,5916.666666666667,1,False,47,1476,5,2,1,35,36,36,2580,6630,51,0,1,0,0,0,0,0,1,1,1
3755581831,5235,5208.333333333333,3,False,47,12986,5,3,3,30,20,36,624,5053,51,0,1,0,0,0,0,0,1,1,1
3693580975,3743,5808.0,3,False,47,17859,2,4,1,29,34,21,2536,7315,51,0,1,0,0,0,0,0,1,1,1
3699408204,8795,7500.0,0,False,47,4075,2,1,1,20,21,36,20641,6950,51,0,0,1,0,0,0,0,1,1,1
3693050448,6044,7625.0,1,False,47,1989,5,4,3,30,22,10,788,10188,51,1,0,0,0,0,0,0,1,1,1
3693580972,3743,5808.0,0,False,47,17859,2,4,1,30,20,36,1829,7315,51,0,1,0,0,0,0,0,1,1,1
3693581852,3743,13666.666666666666,0,False,47,17859,5,4,1,20,21,36,10217,7315,51,0,1,0,0,0,0,0,1,1,1
3693587292,3743,5808.0,0,False,47,17859,2,4,1,17,18,36,2605,7315,51,0,1,0,0,0,0,0,1,1,1
3699407258,8795,7500.0,0,False,47,4075,2,1,1,20,21,36,20641,6950,51,0,0,1,0,0,0,0,1,1,1
3694111606,3743,7500.0,0,False,47,17859,5,4,1,30,20,36,6612,7315,51,0,1,0,0,0,0,0,1,1,1
3693044456,16742,14791.666666666664,6,True,47,1718,5,4,3,30,36,36,18961,998,51,0,1,0,0,0,0,0,1,1,1
3697396590,18401,5192.0,0,False,47,2125,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3749346110,14352,7500.0,0,True,47,750,5,3,3,30,20,36,17093,8207,51,0,1,0,0,0,0,0,1,1,1
3697397424,18401,5192.0,0,False,47,2125,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3749352943,1038,13500.0,0,False,47,25512,5,4,1,13,36,36,12296,2581,42,0,1,0,0,0,0,0,1,1,1
3749352920,3743,6579.166666666667,2,False,47,17859,5,4,1,22,21,36,10347,7315,51,0,1,0,0,0,0,0,1,1,1
3693585628,3743,7695.833333333333,9,False,47,17859,5,4,1,13,36,36,16533,7315,51,0,1,0,0,0,0,0,1,1,1
3757721111,5507,7931.75,0,False,47,8996,5,4,1,30,20,36,16120,2374,51,0,1,0,0,0,0,0,1,1,1
3757721192,5507,11380.333333333334,0,False,47,8996,5,4,1,30,20,36,12921,2374,51,0,1,0,0,0,0,0,1,1,1
3693587298,3743,9933.333333333334,0,False,47,17859,5,4,1,23,24,36,16108,7315,51,0,1,0,0,0,0,0,1,1,1
3757464202,777243,5625.0,4,False,47,329,5,3,3,30,36,36,8927,788,51,0,1,0,0,0,0,0,1,1,1
3699055418,8795,7500.0,0,False,47,4075,5,4,1,22,21,36,19428,6950,51,0,1,0,0,0,0,0,1,1,1
3693073456,11056,8333.333333333334,0,False,47,13804,5,3,3,30,20,36,554,4532,51,0,0,0,0,1,0,0,1,1,1
3697398176,18401,5192.0,1,False,47,2125,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3694106041,11229,7500.0,1,False,47,4871,5,4,2,30,20,36,6498,9673,51,0,1,0,0,0,0,0,1,1,1
3697398179,18401,5192.0,0,False,47,2125,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3755592281,29686,7500.0,2,True,47,161,5,3,3,30,20,36,14729,2501,51,0,1,0,0,0,0,0,1,1,1
3757480507,43325,11433.84,5,True,47,799,2,4,2,30,20,36,15268,8211,51,1,0,0,0,0,0,0,1,1,1
